	Pixel	HATCN	TAPC	CBP	TxOPhCz	Cl-BsubPc	B3PYMPM	LiQ	Al
0	A1	113.13675224416517	261.58636473214284	151.01599103092784	47.053228810020876	1.7336597065587045	445.0640606837607	11.214712665847665	522.5101365919355
1	A2	110.73459784560143	270.666721875	154.35619721649482	45.31460668058455	1.7168694231578947	462.423035042735	11.112255663390663	516.2934591725807
2	A3	108.33244344703769	279.7470790178571	157.69640340206186	43.575984551148224	1.700079139757085	479.7820094017094	11.00979866093366	510.0767817532258
3	A4	105.93028904847397	288.8274361607143	161.03660958762885	41.837362421711894	1.6832888563562753	497.1409837606837	10.907341658476659	503.86010433387105
4	A5	103.52813464991023	297.9077933035714	164.37681577319586	40.09874029227557	1.6664985729554658	514.4999581196581	10.804884656019656	497.64342691451617
5	B1	107.98953500897666	273.3506504464286	152.76423845360824	44.608134864300624	1.8724334717408906	457.6290179487179	10.597218808353807	450.5923172370968
6	B2	105.58738061041292	282.4310075892857	156.10444463917526	42.8695127348643	1.8556431883400808	474.9879923076923	10.494761805896804	444.37563981774196
7	B3	103.1852262118492	291.51136473214285	159.44465082474224	41.13089060542797	1.8388529049392714	492.3469666666667	10.392304803439801	438.15896239838713
8	B4	100.78307181328546	300.59172187499996	162.78485701030928	39.39226847599165	1.8220626215384617	509.705941025641	10.2898478009828	431.94228497903225
9	B5	98.38091741472172	309.67207901785713	166.1250631958763	37.65364634655533	1.8052723381376519	527.0649153846153	10.187390798525797	425.7256075596775
10	C1	101.57660861759425	288.0077933035714	154.94238278350514	41.561788308977036	2.045331933279352	473.28371880341876	9.827882199017198	360.98978820483876
11	C2	99.17445421903052	297.0881504464286	158.28258896907215	39.82316617954071	2.0285416498785422	490.6426931623932	9.725425196560197	354.7731107854839
12	C3	96.77229982046678	306.1685075892857	161.62279515463916	38.084544050104384	2.0117513664777325	508.0016675213675	9.622968194103194	348.5564333661291
13	C4	94.37014542190305	315.24886473214286	164.96300134020618	36.345921920668054	1.994961083076923	525.3606418803419	9.520511191646191	342.3397559467743
14	C5	91.96799102333932	324.32922187500003	168.3032075257732	34.60729979123173	1.9781707996761133	542.7196162393162	9.418054189189188	336.1230785274194
15	D1	96.42939138240575	299.77207901785715	156.69063020618555	39.116694363256784	2.184105698461538	485.84867606837605	9.210388341523341	289.0719688500001
16	D2	94.02723698384202	308.8524361607143	160.03083639175256	37.37807223382046	2.1673154150607283	503.20765042735036	9.107931339066338	282.8552914306452
17	D3	91.62508258527828	317.93279330357143	163.37104257731957	35.63945010438413	2.150525131659919	520.5666247863247	9.005474336609335	276.6386140112903
18	D4	89.22292818671454	327.0131504464286	166.71124876288658	33.90082797494781	2.133734848259109	537.9255991452991	8.903017334152333	270.42193659193555
19	D5	86.82077378815082	336.09350758928565	170.0514549484536	32.16220584551149	2.1169445648582994	555.2845735042735	8.80056033169533	264.20525917258067
